tx_hash,trove_owner,collateral_redeemed,number_of_collateral_tokens,debt,operation,timestamp,block_number
0x441e281ff1fe7c8fb3f39b2cdd6c98171f4fdc176289794237e1abc97fed00b4,0xB0720A40d6335dF0aC90fF9e4b755217632Ca78C,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,50000000000000000,105800735898707279500,0,1711026340,61448014
0x74f8cdcef1f1da9ff38f536da0249e667b324bb875c5668c8bdc3614172ce7ec,0xF482F1fCC386F0B62E4933c44cd4Bfd89585Add3,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,1000000000000000000000,300720000000000000000,2,1710941372,61405530
0x9615ed2064883ee6dd62177d1e0bbb733719dd89720261f92cc4788789a9a204,0x1758A62D4E7D7cFeDe365EFdfC8E03f5B3bD8df6,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,52000000000000000,108263695918650020126,0,1710912150,61390919
0x9f91b089d295a32b701ef29bd1853991d90b7a3018eb722e3e6f18134c4508ff,0x79939118Ef2af99E20310eCC5CCC0E9697d390FC,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,1000000000000000000,1020591667791309716000,0,1710889642,61379665
0xd7ae9a43e9723b1a4d23b7e6ccb599262cbb63c307884de19e03a0e9be152dd1,0x1D378a62412B1BD6116d0DB7DfE5d83410387898,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,9055470969476774501,22074712130782491652778,2,1710871716,61370702
0x9b663cf50b8977fe1215cdcfe645afffcd440d31eccd4d19b8a7f4199bcee88f,0x97D37E8B619cF4C6145da456766CA4FA157292D3,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,4213583414973537522063,1467082532143231194397,2,1710846946,61358317
0xe3075fcf56fbdd0b9caca948a65c7209cf59eb65b772a6e8a93cf71dd093a5b9,0xFe5000A4E2cD553Fc8cE9133de0ce80C6Ffc4FC8,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,3691703457012880768,8350500000000000000000,2,1710835942,61352815
0x13d40d4434abe54813f472344b69b398b7d2bf95b99745e288cb7dc3eb2e6bbb,0xeb5A154d8C99024A12f358C04aaF778150a1B8F7,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,0,0,1,1710815842,61342765
0x576d3cd5ea2f2dc7c7650c428aaded88b35abbe2282de74120dd0be954b8238a,0xf70BB530bFcAe94423D7768e9f00E8555c6e1280,0x201EBa5CC46D216Ce6DC03F6a759e8E766e956aE,0,0,1,1710798314,61334001
0x45ad1f0e21dbd01fd69f2ac321ccb4f8c84e0f20b03a8a5f8b731d26cad7a8f5,0x5760f4126aE24e1E0FA650069Eb24bD64e7E3677,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,0,0,1,1710777072,61323380
0x622eb2ce324600c9aea5209bb0561ac0c5127638dafa99b8b3cfaa684f173f3f,0xD0d9E3505349BC945A414A6EC8fF8bcaDAbF20e3,0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8,5270051423333333333333,2067290344673509956000,0,1710732330,61301009
0xa294981acc74b69d0aef10006fe43a5abec3989e94aef402f70490a1666f29fc,0x97D37E8B619cF4C6145da456766CA4FA157292D3,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,1917555480160227761,2386813343258204668636,2,1710717156,61293422
0x64dd5be2005876a00cd4086bb01c627e08e242fe91a60bbd712a0ed62c9c16e0,0x290d54222c1a188ad9533Da06bEEEbe71286382a,0xcDA86A272531e8640cD7F1a92c01839911B90bb0,274713681666176217,375403029848483446593,2,1710702898,61286293
