wallet_address,chain
0x370ac69943e09e402fa8ce377e30d565a27b1592,MATIC
0x0849f5477813c0acb47aaceb5fb64da0ea5256a5,MATIC
0x2d8ea9bcf57a8456085947ab4752f3f9104fc7db,MATIC
0x03f2b37a122c55531702f8013f61943c687eb413,MATIC
0x91ddeb35264287785762e666b5fba5da9e83b5c8,MATIC
0xa5bc6a65d927b70a7dcd1f76233eb2c31649a9b9,MATIC
0x25da992fd0f68296a2659b69f1642f0d55360993,MATIC
0x151f441c27734e78544697e4e1d4e5a77837e6a2,MATIC
0x58c1411352ed9eddfcca1f8d82ebb03a4edc1270,MATIC
0xd7128c6b3067757e75657541d9a9ddddd38f69e1,MATIC
0xa9c85d5408c0ff3528ba7bbe063bfa4ea39617a2,MATIC
0x1d5603071b3a2c68c6fed879efae6f9ae4db84a4,MATIC
0xe96400ec438e290aa549fcf1cc0018df3f09d6b9,MATIC
0x485356d65df969a603ec797e20fd93bb20fe9eda,MATIC
0xc75441d085d73983d8659635251dcf528dfb9be2,MATIC
0x6244cb96a99b7557c0ed56e7633cf2c70e435b82,MATIC
0x6d4ed8a1599dee2655d51b245f786293e03d58f7,MATIC
0x3e6edba22d9ce22a7168406d26598ae20fe08e41,MATIC
0x51ee2b96666a2cb904c30129db91ddf1a8806086,MATIC
0xa8387622efa57f1b1b5b7dd68b4a6c876a22b6ab,MATIC
0x800f91aa25b91ee3bbc1cce1dddff43cd2e62076,MATIC
0x346348596e2a82fa6257e6c5494daf687f5e51aa,MATIC
0x21b7b807b86a678ec7efc3448ea893d3d641e1e2,MATIC
0xbd02ae8b1eab6c49a1328a9cb3162ce0fa97730a,MATIC
0xba5e26770db2706c13da908b207431172012acd3,MATIC
0xdabb2a94f44bbc7c095ff0483ef07bb7886a45ea,MATIC
0xd33ea7fd39a92a361ce394e9f3ff7f5741a64e6b,MATIC
0x5e87aa4163ab6ea19cea6d823eeba7015816dc26,MATIC
0x20897a7d7e7bdc6fd1245561ee2214d47edbeff2,MATIC
0xe7ef5f4803e85f91871bc8f4a609b954f2112ac9,MATIC
0x1fcad2f019b595291efc1a9b9dcf8d29fbcf0010,MATIC
0xee43ac49631b4488e7c2c3d7e354ca1e17512fa2,MATIC
0x9c4b88fbe06b6b1e461d9d294ecb7fb0c841db4f,MATIC
0x991c4d7d1c194a6753799f788fa49218181ccffa,MATIC
0x93bfc4f6dde450449389e057cfc3e8dff1340f2b,MATIC
0x75fa74606b95877aabf6bef66db511c36492e66f,MATIC
0x078b5451242d39091f03acc835239372729fb9c9,MATIC
0x889b409a1b2232a08dceded878921dd30e703ddd,MATIC
0xea16545cf2e4c30b38b156cda0972be63ce71d50,MATIC
0x41ed288dbf8493310d2bd57067c226a96610d2f9,MATIC
0xaf0b68a684e2b7961a0b6078e36f43d6e990e54b,MATIC
0xcc106c96997ffc520a2018a575bb438d5243c931,MATIC
0xbaf88b32025aeaefee010013da46098382475ddc,MATIC
0x05a9b863da79557856529fb2ffeaddb01b66bf17,MATIC
0x970e467bd9216f5ff20d2db55f0ef46f35bf855c,MATIC
0xd7f50e71a6c0525479abba17f02eddb55b6f3ff5,MATIC
0x66c97dc031bb2f6ad421cef7b01de0ca2ae4fe64,MATIC
0x78d4c94b1284d46d238c6afbbbd115385b1b36ec,MATIC
0x77fe051ec66db6c444386918600116b047b664e5,MATIC
0xf27071c352d1845c101d8181aa4ea70f8d0d6b68,MATIC
0xb39d022edf05c31e1981f4f4d8137dda9c57cfae,MATIC
0x89a50c9f4dbac2ae81be76763da28a8f96ff4fb0,MATIC
0x1fac6eee2197c98d1ef0f166eccffa8632e9a279,MATIC
0x91ae6b383fba985f6641d46aa4f6be41f081e347,MATIC
0x48fb55ed1fb62ed26274fb805f6444bea97c1f28,MATIC
0x6aef48ea854bc0e805232cecbab2fab592037c19,MATIC
0x06edb03f407e4bcfa77beaac3504e9d958b47b58,MATIC
0xb6fd60d7fe060098c46ab96e3b3618b2239d0940,MATIC
0xbd07c5a0c16fed711326174a2e6331d15ea65d24,MATIC
0x208d19d4d5d9ca3debde5ac6bfb0685799d5fe1c,MATIC
0xae69116e4aa49645f78c1fc9f28f677aede0d153,MATIC
0x69b8903c257a68001264b0cb2c58494cf33366d4,MATIC
0x27211186a6aca2c1371ea8b3deb528659a118081,MATIC
0x28b37d7f235fe68cf073beb87e78978bc38eecba,MATIC
0xf90f56afa1dae825db57fc305b2f8f1ccf337531,MATIC
0xfb953d5c69bb04461b74e13655072eae8fb384da,MATIC
0xf932b2ef867878e9788f074edded763a08481003,MATIC
0x1a66536999b66f6ae13508fc198a06615a11cd77,MATIC
0x1aba64c3535dd573ddac5b922ee61e158b99f1b8,MATIC
0xb7a85941f0b8ba6840176b6046ad601ae5f7ae38,MATIC
0x4f0288bb195355af52ec9507af51cc1076476c76,MATIC
0x56f2c4cb8518d0a4ec749593df574f7597a36140,MATIC
