wallet_address,remaining_vest,term,grain_owed,pending_grain,grain_claimed,grain_to_claim,weight,chain
0x83d2279cb6A27968e7bA4FaD624F67B98631aD44,1011.355167,8,1011.355167,505.6775836,0,1011.355167,8.62914E+19,BNB
0xca8744d4A5D1395660646371cEAC0a2c156933Ff,100.2471491,0,100.2471491,100.2471491,0,100.2471491,8.55334E+18,BNB
0xa0A876EF23492aB2186CC439e90d48031EABbA5E,0,0,0,0,0,0,0,BNB
0xDfF9b6182F015C4D181acA311Df0cd043434E2CB,765.6247916,0,765.6247916,765.6247916,0,765.6247916,6.53251E+19,BNB
0x4936f33b7B060c7336fD0e4c61316EA248DA6827,50.52626568,8,101.0525314,0,50.52626568,50.52626568,8.62206E+18,BNB
0x38434a8e726b7b089d5600577ef9b2Dba9cA92Ad,0,0,23440.45845,0,23440.45845,0,2E+21,BNB
0x7ea2D94c0bb347014db4c08E70fAC5F67793fFe0,6202.771961,4,24811.08784,6202.771961,18608.31588,6202.771961,2.11695E+21,BNB
0x89D2a2b2cA6C2a560e00708D5C8590923db23825,0,0,832.1362749,0,832.1362749,0,7.1E+19,BNB
0xbA9B8E4355bD706e88BE4CfD856f8088aA6dDc72,0,0,6153.120343,0,6153.120343,0,5.25E+20,BNB
0x552Ee4c601E6011cF7a79de25c9fC00FF9D6a3D2,234.3851359,2,234.3851359,234.3851359,0,234.3851359,1.99983E+19,BNB
0x5FFf1ad6E970d466b5f285aFDd4C7B007CC87151,11785.33165,20,13865.09606,693.2548028,2079.764408,11785.33165,1.18301E+21,BNB
0x92D0996E3F19D4b4A56754043F79e174c30Be515,11838.75175,8,11838.75175,5919.375875,0,11838.75175,1.01011E+21,BNB
0x6A5F44D24DCa8417DB339203d9E07D23321F030B,4295.171005,4,17180.68402,4295.171005,12885.51302,4295.171005,1.4659E+21,BNB
0x69E24369BfEda80348BD5104dF01C4d8b33ECFF9,31.24525099,20,31.24525099,6.249050198,0,31.24525099,2.66592E+18,BNB
0xFf85B7f03Cf784B38c8C0EE8d414aAcC92F32eE5,0,0,585.9744947,0,585.9744947,0,4.99968E+19,BNB
0xDAE50fF45a80E362B783D6615Cfb45186abdaA0a,8438.306713,4,16876.61343,8438.306713,8438.306713,8438.306713,1.43996E+21,BNB
0xd68acbEbCdE23aeF84AC30dA8cf16Bf267C9D77b,0,0,0,0,0,0,0,BNB
0x20d801Dbee0505F9a77CFF40f5fed6Ff0f0ee9D6,0.532816382,20,0.532816382,0.106563276,0,0.532816382,4.54613E+16,BNB
0x31dDecB2E39Ef4e9aA91555f03c78E618bB9331f,0,0,1262.290191,0,1262.290191,0,1.07702E+20,BNB
0xf8472477966fF818e76ccBC6FD047F06D0dD21f1,0,0,251.6651375,0,251.6651375,0,2.14727E+19,BNB
0x4B077a5889a72f051dAeFBa431547B3312272B34,1011.368986,8,1011.368986,505.684493,0,1011.368986,8.62926E+19,BNB
0x4Ba30daBDcF99465D28bC6674204239E29B443F5,0,0,2233.064702,0,2233.064702,0,1.90531E+20,BNB
0xa3eFc721Ba743678f2E796bEB1B796d8588651e3,0,0,3499.817978,0,3499.817978,0,2.98613E+20,BNB
0x1fAc6EEe2197c98D1ef0F166ECcFFA8632e9a279,0,0,1315.464727,0,1315.464727,0,1.12239E+20,BNB
0x4F449343f64E416c818EeeC7cEe7219F8ef921cE,6511.238458,2,13022.47692,6511.238458,6511.238458,6511.238458,1.11111E+21,BNB
0x68f5DA4A7027705590220143AE1073877076ffF5,15343.45924,20,15343.45924,3068.691849,0,15343.45924,1.30914E+21,BNB
0x489Ed404be1BeB391F4E1e748221bCe0857cBF23,25860.29118,6,25860.29118,17240.19412,0,25860.29118,2.20647E+21,BNB
0x66B83b8084e8F055F9B78BA059D40506595415a1,0,0,376131.5736,0,376131.5736,0,3.20925E+22,BNB
0x073aBA73177668Ba1c6661A4CCddbF77dfC8809a,92.29680514,12,92.29680514,30.76560171,0,92.29680514,7.875E+18,BNB
0xc445A4d722d2793BD351779378AA85fd45adeE84,20168.97567,20,23728.20667,1186.410334,3559.231001,20168.97567,2.02455E+21,BNB
0x4858Fbd70F681b703Adb5f3be5B103bF27eDAe02,1788.000518,3,1788.000518,1788.000518,0,1788.000518,1.52557E+20,BNB
0xEaA2191c65720Fb0494510053c22785AC7011E07,0,0,11478.98321,0,11478.98321,0,9.79416E+20,BNB
0x4dD6720D2Bb8721A46bdF9a528704164578E03B9,0,0,4710.118465,0,4710.118465,0,4.01879E+20,BNB
0x3aaDdfF2aCaA537603e2A11443b0bcB929EA2398,534.5914364,4,2138.365746,534.5914364,1603.774309,534.5914364,1.82451E+20,BNB
0xF8490e396f5d806680e7eCf1e99d6F5EE38f84ED,0,0,127.0550333,0,127.0550333,0,1.08407E+19,BNB
0x6f5a8A35fb10EEcEF9128f407a0fe67B898556CF,10282.77497,8,11751.74282,4406.903559,1468.967853,10282.77497,1.00269E+21,BNB
0xcD7a0680c14b13618bf119FF899Ed10Ca4dBCcCc,3662.571633,4,14650.28653,3662.571633,10987.7149,3662.571633,1.25E+21,BNB
0xb67a3Bca1Da84101181422EeE512094A393935C2,0,0,2363.523874,0,2363.523874,0,2.01662E+20,BNB
0xaaD2E4507651c6d993cd1EF59f689e3a9CF48911,0,0,24610.69697,0,24610.69697,0,2.09985E+21,BNB
0xE79C519948Edb601E5c9B33d57F10243ceD75630,1175.685494,4,4702.741976,1175.685494,3527.056482,1175.685494,4.0125E+20,BNB
0x611e75F93883D83d33103aCD30eB9110A43F668A,4765.357225,20,5294.841361,529.4841361,529.4841361,4765.357225,4.51769E+20,BNB
0xFD9a3B43c5D3327675f689c954D063dc3e60Ecc0,0,2,670.7523987,0,670.7523987,0,5.72303E+19,BNB
0x51f884aB949BBF579f0CE646c42ec8d87aA22b77,56.24953696,7,56.24953696,32.14259255,0,56.24953696,4.79935E+18,BNB
0xF5c517d8dAF9D18c9aef1B463BB6957aA41519b8,2457.58096,2,2457.58096,2457.58096,0,2457.58096,2.09687E+20,BNB
0x023aB8e20a4682d315Daef4c91DB96bD77934D66,98.01982696,1,98.01982696,98.01982696,0,98.01982696,8.3633E+18,BNB
0x9f8D63A4f6474E56A7AD1c427ac4B5dE62cD26EC,0,2,3516.44256,0,3516.44256,0,3.00032E+20,BNB
0xd00172F4409A96603EA8a5A211853e4BB2B6Dce9,4000.808218,12,4364.518056,1091.129514,363.709838,4000.808218,3.72392E+20,BNB
0x21af87496cfd3921FDc805BA43e27cfb3610e04c,1011.362281,8,1011.362281,505.6811404,0,1011.362281,8.6292E+19,BNB
0xE1b84A8CfD690A0b34AF8EE610b7FFbE123D8608,5813.671671,4,5813.671671,5813.671671,0,5813.671671,4.96037E+20,BNB
0xe9d9e809D0e342Ae2Bee19850Bb7F0e3162D0C70,0,0,0,0,0,0,0,BNB
0x15Df788d6a0253B91cc2694ee6665420247E381E,0,0,1995.144788,0,1995.144788,0,1.70231E+20,BNB
0x028862B63Ef5E9c78238BCaEFd0Ebf1D15EFC9cF,0,0,5848.755618,0,5848.755618,0,4.99031E+20,BNB
0x1141eeFA7A6e3EBe85fE60c7E6D8Ed5A3D94C169,846.4935557,20,846.4935557,169.2987111,0,846.4935557,7.2225E+19,BNB
0xf8C56125c62bBd26a7c326B610A553a41238328f,0,3,6496.933236,0,6496.933236,0,5.54335E+20,BNB
0x3d07b7163b04782098D2407bF58777de7d1Cea76,128.5827907,3,385.7483722,128.5827907,257.1655815,128.5827907,3.2913E+19,BNB
0x1a93c570251ec9cE34216AF5EEe618097026bd06,0,1,6612.821749,0,6612.821749,0,5.64223E+20,BNB
0x4d169658B435ffe9596AB3e98b7306D9C841678E,26427.14725,8,42283.4356,5285.42945,15856.28835,26427.14725,3.60773E+21,BNB
0x6aE098A5035a885a1e564Fc859093FD67Fa5E603,0,0,5142.266455,0,5142.266455,0,4.38751E+20,BNB
0x3e6EdBa22D9cE22a7168406d26598AE20FE08e41,9396.078469,20,10440.08719,1044.008719,1044.008719,9396.078469,8.90775E+20,BNB
0x0c0f1a11b220fd1d53306F67b9327CDeb31D662b,29.30057306,20,29.30057306,5.860114612,0,29.30057306,2.5E+18,BNB
0x1C18099709189775c7FC02D2Aa6Aa275d3c553Ae,0,0,442.0378495,0,442.0378495,0,3.77158E+19,BNB
0xD919E2b05b2fE3C225cB0f1F775B8a4dc624AcDA,11686.63576,20,11686.63576,2337.327151,0,11686.63576,9.97134E+20,BNB
0x6aef48eA854Bc0e805232ceCbab2fab592037c19,1025.520057,8,2051.040114,0,1025.520057,1025.520057,1.75E+20,BNB
0x7eEF3c343B0fB9C08793ddE903eCCE4B45DD0596,0,0,58.25849372,0,58.25849372,0,4.97076E+18,BNB
0x48Fb55eD1Fb62ED26274fb805f6444bEa97c1F28,1025.520057,8,2051.040114,0,1025.520057,1025.520057,1.75E+20,BNB
0xc70215BB6ebb45fB4EDD7DAcE92b884277Cd4Ea3,1369.25504,20,1369.25504,273.851008,0,1369.25504,1.16828E+20,BNB
0xa3b926f6d2bB5507fE711847640bA2086CB11A75,1473.623244,20,1733.674405,86.68372023,260.0511607,1473.623244,1.47922E+20,BNB
0xe24C2133714B735f7dFf541d4Fb9a101C9aBcb40,0,0,11720.22922,0,11720.22922,0,1E+21,BNB
0xEDD53f7108C13b36881a386A6589B3f01308E6F3,0,0,1491.891302,0,1491.891302,0,1.27292E+20,BNB
0xd2801e7bf6A72CCE1ec225bb007A26815AFF9878,19.82562956,0,19.82562956,19.82562956,0,19.82562956,1.69157E+18,BNB
0xe729861d1edEcBC0B2c54C454c9c3Fc0eCE257A7,0,0,29756.91471,0,29756.91471,0,2.53894E+21,BNB
0xB8607Da1cFB07122DC781d53c675174B8B4FC334,18908.22985,7,18908.22985,10804.70277,0,18908.22985,1.6133E+21,BNB
0x0cf08b43D21b893ef679f23cBceD33DbC69C8f3d,0,0,1522.627857,0,1522.627857,0,1.29915E+20,BNB
0xa21cE6d311a60d4293D9025AE27a779e71919809,155.5605959,1,155.5605959,155.5605959,0,155.5605959,1.32728E+19,BNB
0x477887A3B0e730A0c4B7ccf55aB086001ec4d633,310.106257,1,310.106257,310.106257,0,310.106257,2.64591E+19,BNB
0xe389920e13322469AA6CCd6fbb45f24C6dbC5EcC,0,0,10485.81447,0,10485.81447,0,8.94677E+20,BNB
0x5480DbCdB4B5Bdd8F9651c89999B37F831067F4e,0,0,1162.576137,0,1162.576137,0,9.9194E+19,BNB
0xc1a8da2603bF579dF012309768C021eBe8383d33,0,1,3681.36015,0,3681.36015,0,3.14103E+20,BNB
0xd319f112bf73eAe5e3cf06bF8D4076cC5f8B1cD5,0,0,4488.43406,0,4488.43406,0,3.82965E+20,BNB
0x514c8600681cF53121C88418D5355a9d7d305Db2,0,0,2570.270759,0,2570.270759,0,2.19302E+20,BNB
0x4BD08897e21b739c7DA42Caa490f71065bfD7cdA,38.98559696,20,38.98559696,7.797119391,0,38.98559696,3.32635E+18,BNB
0x2e945441a061fA5BFB52a66654332dC62A48BB12,0,0,2194.649467,0,2194.649467,0,1.87253E+20,BNB
0x6591E12a406B2adE1f43255089d5ae75eEb7D55D,1749.137285,0,1749.137285,1749.137285,0,1749.137285,1.49241E+20,BNB
0xda7A75782C1B6cd6cb3723Cc6Ef306d8B6B25d06,4365.350413,20,5135.706369,256.7853184,770.3559553,4365.350413,4.38192E+20,BNB
0xCB6586874cc04B01Cc4fDB777dE502cEa7b3D6c1,3463.55379,20,4074.769164,203.7384582,611.2153747,3463.55379,3.4767E+20,BNB
0x8E900D7CC784A47b2f5B4baf0871aaDf792D0cC1,1763.125062,8,2821.000098,352.6250123,1057.875037,1763.125062,2.40695E+20,BNB
0x1DD6c70CB2d030b95721fc17aDeEca722f90F2E0,0,4,4452.633989,0,4452.633989,0,3.7991E+20,BNB
0xFa0f82f943393651b8D902523E57DB1336305C41,72.72855732,0,72.72855732,72.72855732,0,72.72855732,6.20539E+18,BNB
0xbe0A3270d7d5ac7a94179CA1375F350407D2dFE8,0.906091434,20,0.906091434,0.181218287,0,0.906091434,7.731E+16,BNB
0x69bbBfDE43c49fc50f5647223dA5ef4756D78659,0,0,3849.515149,0,3849.515149,0,3.28451E+20,BNB
0x313a0CC774C497C93aA8e5bf9690EB78e634e30f,0,0,3671.377516,0,3671.377516,0,3.13251E+20,BNB
0x74f6C5a51b9080598532fCC1F951570965cD45B0,2735.798434,3,2735.798434,2735.798434,0,2735.798434,2.33425E+20,BNB
0x911B1ecef200fE24E4ea9B54B9D87C3dfbfDB5Db,0,0,132331.0272,0,132331.0272,0,1.12908E+22,BNB
0x0Cf61f90Ddd4A5e396b809C43D2bE985f7A921F4,0,0,2399.227192,0,2399.227192,0,2.04708E+20,BNB
0x06F5C1E24F5C49dF872E1e780b18ea45af5bBd92,583.3352171,0,583.3352171,583.3352171,0,583.3352171,4.97717E+19,BNB
0x9D5158eA9942bB590f00F6EFBb80c9D17d729833,0,0,334.1693335,0,334.1693335,0,2.85122E+19,BNB
0xDE9939E9c22C084F9D0D1D58b7640D6Aa9503340,9735.879255,4,9735.879255,9735.879255,0,9735.879255,8.3069E+20,BNB
0x95B0cB330519DB2bCaf74B90C1BDe3D62f673718,341.8400191,2,683.6800381,341.8400191,341.8400191,341.8400191,5.83333E+19,BNB
0xF34363077dc8e7796aDc7F4817CF6Db2c6a7ebC9,0,1,11806.10541,0,11806.10541,0,1.00733E+21,BNB
0x961870e8aA20DD1A6a5833d0854a6A5c4Ad77EC0,54288.16088,7,54288.16088,31021.80622,0,54288.16088,4.63201E+21,BNB
0x208d19d4D5d9CA3dEBde5aC6Bfb0685799d5fe1c,0.395200783,0,0.395200783,0.395200783,0,0.395200783,3.37195E+16,BNB
0xB8c144d0c88b4A38BEA8A100Fdb3185b52dd13d1,0,0,63120.99801,0,63120.99801,0,5.38565E+21,BNB
0xaD86AF1624144f08748b420601dEe265072bad98,51.67835263,7,60.2914114,25.83917631,8.613058771,51.67835263,5.14422E+18,BNB
0x75059e1eD67b2ca8391c19e524D891279F554Fe2,5127.228695,8,8203.565912,1025.445739,3076.337217,5127.228695,6.99949E+20,BNB
0xf0e316d8bE1f0D9FA8847374eD27b6e4fF49dC33,0,0,3822.961075,0,3822.961075,0,3.26185E+20,BNB
0xb92994BfaFEfB06346AB26b03f7430cb1bFEe144,0,0,1165.307304,0,1165.307304,0,9.9427E+19,BNB
0xcE0E59f5db6090Ef70816bf60a75660A29624046,0,0,601.4334584,0,601.4334584,0,5.13158E+19,BNB
0xC85C19d2513b966840F40EF31CcfE76229761DBB,0,0,291.8706001,0,291.8706001,0,2.49031E+19,BNB
0xE2E1ca0B72e78eaDBB7476bdc514377916948E47,7894.079558,20,9287.152421,464.357621,1393.072863,7894.079558,7.92404E+20,BNB
0x304B3D778ADa6D14387dba400d48eC5BB9EB689b,16954.95241,5,16954.95241,13563.96192,0,16954.95241,1.44664E+21,BNB
0x3aB1a190713Efdc091450aF618B8c1398281373E,2002.337663,4,2002.337663,2002.337663,0,2002.337663,1.70845E+20,BNB
0xA5e1F590602E4600023D9b1576C7fc0F97eEa143,0,0,6157.456828,0,6157.456828,0,5.2537E+20,BNB
0xF7FB15c8f393f462C133BB93F47381B9a7823233,1556.106358,5,1556.106358,1244.885086,0,1556.106358,1.32771E+20,BNB
0xc4471730b451671210EFb86467233B13dd034338,3898.07051,4,15592.28204,3898.07051,11694.21153,3898.07051,1.33037E+21,BNB
0xD2B0810A5E4918AbB0DB9fB578484d3b94f79F19,0,0,12.48698515,0,12.48698515,0,1.06542E+18,BNB
0xb17c1853638a5991C42f44959699b4f301cC0Fc4,0,0,1170.810318,0,1170.810318,0,9.98965E+19,BNB
0xce75ffc59Ee53afabA7e64B0A5763FF7fcCfc7e6,0,2,38741.36337,0,38741.36337,0,3.30551E+21,BNB
