buyer_address,buyer_shares,buyer_uint_term
0x75EddC2Af3E039E09cf36f83307f620FF3265CD3,1,126144000
0xa295A57738dbD5F6d59630586434f6279BCDAeFf,1,126144000
0xeB1BcBfEC30297E70ce7Fda0a6729A233c957117,1,126144000
0x8F14060D8a957c258DA5cBe749040891c0Cf6E7c,5001,63084611
0x2B4bAFfE476Dd7f9C610aF39909b1367806bbd20,1,126144000
0x363dc77b9620a29daF0Ddf5aC398049e938A776B,1,126144000
0xB0B25FE59dCc24EcbFdCE661870109089C10264d,1,126144000
0x8B4441E79151e3fC5264733A3C5da4fF8EAc16c1,1,126144000
0xDD7F11DcDe011531BBA97bd234c154c6600BA2C3,1,126144000
0xAdd9A7C1b516060b212f98e699b2779e961f4eC5,5001,63060942
0x2c2187acEeda6d9211412b8f4d4e55373F697f40,2,126144000
0x580B408A619E7a6f7147b7883b4ce45986CF00E5,1,7776000
0x944398325aE8B4971C5fd08255CfDA66f59C7dF8,2,126144000
0x70cBE5945215803d1a185225FF18E173B3EE43B9,1,7776000
0xc13535c2db284F9D87C6F9484eeb4cEfC676029C,181,4253170
0x72Ad9804F61bdA81E85EFA4cD650Cb0D1EEc2822,2,126144000
0xD2b4Bce9897329F12E4Ec4287D2a675b9c9Cb4F6,1,7776000
0xdb6a08918CDEAa93dC7E440E28028c57028CC5F2,1,7776000
0xe3Ff908bA8DB6827F7a17b32D4bf8aF03DB0935e,251,36174406
0x62B76AEf1D5e16634152c9EB53db081B1ce503bB,1,7776000
0xb045458c8bc244D67dc40f07e2c75A22dc403F4b,5,52997760
0xB4Ed1A39491C83219764152E4DC68944d5547947,2,6307200
0x60BC5E0440C867eEb4CbcE84bB1123fad2b262B1,2,11188800
0x88D525521d7066B3Feb44a231357455697068D76,1,7776000
0x800aFe8e5516BAb102861C1D808d9C23063c85c3,1,7776000
0xAdF0b51570ca1944324D6041B91E3F4001E9A4dE,1,7776000
0xbbAE0E0795294Bb37F9B7CEE715E7F15602f67DD,125,4398796
0x36de6d01ab563d3E0Fd7661c75dcE8202AA82649,1,7776000
0xBBf357C4929ec4e21C0bF8E06C68743C101a6100,1,7776000
0x2E8C9d0c1AEB6892805a86eFF11E671178eC282F,1,7776000
0xe227720B9435ec3d2CE854eccEC4E7c510E25c32,1,7776000
0x73ccF616a2B50Dce82c43dADA3Bac46Fe5A31137,263,6333806
0x65D3FeBC3112cef66BE36df9A62Ac0f94079BD42,3,126143999
0xbe17f75819Bf9053Efeb8aaA69B44B694c4B1179,2,7776000
0x49905D02c4A5A66B7300603989934a3E5B3D9836,4,126144000
0xA37a8C45D8eD319AA3aA382948Cb7e13D2dE3dd9,2,7776000
0x4eE9F84FB578F392a80191ffE5F937B66Eef5699,102,15399528
0x9Bb3c3613071FBa4E927069746Cb5BADcfCaCac6,4,126144000
0x64cfCD46B47b1050285E43d684C58aE357811971,2,7776000
0xFe68434E8Fb088Ba4CAF5472A6Da1aC16dcFdE11,4,126144000
0x0e4F32590203adBF7aFE69A72fB0862D1bc17f32,2,7776000
0xa375a6A1d448777b1Eff62914f3964890456c1f5,4,126144000
0xc40456ee3Ce933b81D9be4D68d964Eeb1F684298,1245,5208980
0x58c3752b2FED4b73D0968A6B9186ad403f758b07,5,126144000
0x3D0Db72EB8d80BC016698f1BC19AEa2443F75252,442,3751750
0xb660cF7E043306965D8880CAce6AFbC671FEb99f,3,7776000
0xB470540fE6ade971DE7007595330073b05639daf,3,7776000
0x8a818C1A83C39e5bB5eEEf54FEF305ee194ef185,3,7776000
0x503A623911095e2c506CE900B90Ae3E1097a24E6,4,66959999
0x318a410a22941eCB72391046e8a81482F14bb5dA,3,7776000
0xD4822b73C5d7542F91B74dE4bE90dA7e7eC4F256,6,126144000
0x6252E92C6D5b6B94Ba121E0bEfa04CEe120664C4,3,7776000
0x0F5f587622CF78199d91f900a65CAaA70326c295,3,7776000
0x54b079C4949E69D3639B784c8A68B02fd7bcA892,3,7776000
0x0f57FdBCa7eb3a91bc2C8B2408c8cB562d3d0092,3,7776000
0xBa6cbEFaFb1F4D5EAdeac54612c242BC95372175,9,72556799
0x70aBb00D2D8C91D1AF258813077f5578E36cc465,4,7776000
0x2D4b56eAE356449d9e5d266e4d45F60F745ca9A6,4,7776000
0x31A914C8471ABE000b852B35986049ec2b1fB105,8,126144000
0x93e5DE52d6bC3b3F85F4df5E03ca6060ae8D045e,6,86687999
0xbcc78c8c4627e42970dC4BEA590961A1f6Ab0274,4,7776000
0xEc7372db51F9A162C3C9fA59a2e2004837b86622,8,126144000
0xA244849A9fDE5290B45e0c6bF36cF474a4f45B9D,10,126144000
0xC7dbC19acEffAE1d323cCb6Db63607097a82D981,8,126144000
0xD9E884b2e1151140495b089fd6B07D0296616198,4,7776000
0xe8B1a33c84E943d002dEE44038B3f7c6d65c8f1e,608,6819630
0xFa00D0f44742c41749bC5EaC868a97d52A792d63,4,7776000
0x3863b1aA836C3CA55AdE36048D8A407f5D0939FE,8,126144000
0xd6A819f4135b42161D3b898686255B69D157535a,1001,5324689
0xF40a2E8aADaEbE75c3826B304Cd9e23d6821261A,5,7776000
0xC20e6C4e41AD0144a57761629fBd4Bf0F4f2690F,9,126144000
0x2bc625c82b1987f19B6E68d0B2865eF7cd7048a3,5,31449599
0x6534ffCb2D8341eB5ee998000474F9b5D6ABfA6A,5,7776000
0xAE03F254f30eC09013dE1425e2bb0C99cCa908d7,10,126144000
0x2C48A579668F76dBF59c20B9273DA9083be65F52,10,126144000
0xe0960A5b04167a2eE871d4eCC79D331581f014Bd,5,7776000
0xd4aC35F8BD79d31c61D9704EabB3195185EC7B63,5,7776000
0xEB93dD53Fa96207459e9775123c1681A0C91Fb1d,10,126144000
0x526F01D8A7933a94d70F1a30C9558cBD2823fa93,10,126144000
0x71803A1718B861c4A86B4bd8C3762cFCE7D98fDe,5,7776000
0xf71B1aB0D016bd0497aCf28948cbd1769035c811,10,126144000
0x711EAF535CB6b4a25fd1D72b8F7404A4D599F132,135,13823999
0x7e84132A4FD6daDeFD4506518C890EC554684F0d,9,112991999
0x96d8AB3A7C2f9590D730A6627d1cf5468ee559A9,10,126144000
0xcdFbc32C61B7CB47ca1F4e01C44B5be55D4B50D2,5,7776000
0x29199E981e293c9FB4134586094DE3C65Cf6DD19,11,126144000
0x76274304E878458F59b4e31805e3C054aD30ed30,5,7776000
0xDf4AcE29970D2F2Aa44De82f708755d27F5234c0,10,126144000
0xB791Ca7bf6288079ACE86ca961Ea7826787CaEC1,10,126144000
0x36B7B3a8d633186Fa95AD5D04Cf9f7813135aBb7,9,99839999
0x43D9b61c9496EE28463060A9001b1b0761De6a42,12,126144000
0x1633f45047A90DA9405D16422DC22e7e9be4703c,337,6099786
0x7E2f22c7E7c635d7e009952b91B00dAcb4358F04,6,7776000
0x631f82fB2A62496d28780A821f47786b05e2278A,20,67780793
0xAEA2119432b4401F106379cDAab0F728Ab7EFD17,7,41595427
0x7ba130afC8f7bBa12feC271e8909e88Ae0842C40,8,7776000
0x39787D2e75C3aD12A99D582954C17A79806bf683,47,4246467
0x30e1b91A62C9f16BC83447EAF3B031800A6B4c60,7,7775999
0xf169aD2dF638384A4304807E636777e8B334239C,14,126144000
0x5f71CD2E7Fab7a8d976BD07003ebBFeeCB2B9fe2,2000,4622220
0x06c0BB4eBC1679608ceAC6AA806a12B4435E0BCA,9,7775999
0xA93093fc1D0343298966E1F971fAE10a7a629296,8,7776000
0x9a0e126cb320636955116BeC3c9d0c0cD1212823,9,7776000
0xD6edAdCEFeDc0228F8a4D7e3e1bCC33B8efA70b2,8,7776000
0x3d2fed8bdDEd8c4a0f66492f22d263aC40fd7635,10,7776000
0xEbbEEC84a813471DFFd24469e3C509F1b86E9BaC,20,126144000
0xD57CB6eF12730e506771c173FdA310e29F42592B,10,7776000
